gene_id,pd,r,p.value,qvalue,delta_RPP,contrast,gene_name,gene_biotype
ENSG00000100226,0.11965811965812,0.059943168535834,0.543399204266023,1,0.0632968803700511,Fip2 v.s. NC,GTPBP1,protein_coding
ENSG00000100234,0.199522595552988,0.193280472358139,0.00021015862727821,3.81602414663641e-05,0.165144709339036,Fip2 v.s. NC,TIMP3,protein_coding
ENSG00000100239,0.148704255895907,0.153014663910041,0.543663866247157,0.662918077806051,0.148704255895907,Fip2 v.s. NC,PPP6R2,protein_coding
ENSG00000100280,0.0671187619544427,0.00382804621305207,0.556686636867186,0.99998375356539,-0.000944915758357839,Fip2 v.s. NC,AP1B1,protein_coding
ENSG00000100281,0.127720252720253,-0.218298152422056,0.0102884004148897,0.00121386757113338,-0.127720252720253,Fip2 v.s. NC,HMGXB4,protein_coding
ENSG00000100296,0.159798339616193,0.185441505265771,0.0305499351722501,0.0123941591452062,0.159798339616193,Fip2 v.s. NC,THOC5,protein_coding
ENSG00000100297,0.00959119496855344,0.0168140904520604,0.658906608988937,1,0.00678402612808587,Fip2 v.s. NC,MCM5,protein_coding
ENSG00000100316,0.000626039257049884,-0.00307608162110004,0.580240581588278,1,-0.000191108221109682,Fip2 v.s. NC,RPL3,protein_coding
ENSG00000100330,0.117693900302596,-0.196466953307777,0.152679622177864,0.111162731283665,-0.117693900302596,Fip2 v.s. NC,MTMR3,protein_coding
ENSG00000100335,0.140431627196333,0.11629209969865,0.337695443398984,0.537614017744412,0.0845842882607588,Fip2 v.s. NC,MIEF1,protein_coding
ENSG00000100344,0.10314039408867,0.0852667184334858,0.569437667946342,0.87272045199881,0.0892515051997811,Fip2 v.s. NC,PNPLA3,protein_coding
ENSG00000100345,0.193242230642483,-0.168053392703093,0.000919821878117752,0.00584875710326118,-0.17661626718839,Fip2 v.s. NC,MYH9,protein_coding
ENSG00000100348,0.047585031199933,0.0643046066265083,0.0553831556177735,0.105255259683048,0.0475850311999328,Fip2 v.s. NC,TXN2,protein_coding
ENSG00000100350,0.0207042253521127,-0.0251087628028087,0.718318756951058,1,-0.015978371495824,Fip2 v.s. NC,FOXRED2,protein_coding
ENSG00000100354,0.102937209485832,0.138908562614254,0.396942730644783,0.378384622326295,0.102937209485833,Fip2 v.s. NC,TNRC6B,protein_coding
ENSG00000100364,0.102336349347946,0.0996794909533896,0.382797850907522,0.580730911740137,0.0537806380357674,Fip2 v.s. NC,KIAA0930,protein_coding
ENSG00000100372,0.166587539563552,-0.147554093421761,0.36817755314991,0.536344792622754,-0.134978344161253,Fip2 v.s. NC,SLC25A17,protein_coding
ENSG00000100380,0.0695881055054697,0.0371501191238985,0.00793474008895164,0.134787911558605,0.00789637351743977,Fip2 v.s. NC,ST13,protein_coding
ENSG00000100387,0.0082716779297329,-0.0299721450475091,0.239397389301735,0.444714268166352,-0.00827167792973282,Fip2 v.s. NC,RBX1,protein_coding
ENSG00000100393,0.067008201585719,-0.133500535563547,0.22249777922953,0.090066727108222,-0.067008201585719,Fip2 v.s. NC,EP300,protein_coding
ENSG00000100401,0.0217107132708156,-0.0460213858006919,0.532652421772653,0.852412001027457,-0.0197857256900903,Fip2 v.s. NC,RANGAP1,protein_coding
ENSG00000100412,0.074502326863398,-0.12060142649542,0.085324254076898,0.0388332629926604,-0.0445626210498079,Fip2 v.s. NC,ACO2,protein_coding
ENSG00000100413,0.0725274725274725,0.0843297703596763,0.448663710808167,0.870349172930539,0.0609646902329829,Fip2 v.s. NC,POLR3H,protein_coding
